word,plural,meaning,example,exampleJa,note,category
Haus,Häuser,家,Das Haus ist groß.,その家は大きいです。,特になし,A1
Baum,Bäume,木,Der Baum ist alt.,その木は古いです。,特になし,A1
Auto,Autos,車,Das Auto fährt schnell.,その車は速く走る。,特になし,A2
Buch,Bücher,本,Ich lese ein Buch.,私は本を読んでいる。,特になし,A1
Stuhl,Stühle,椅子,Der Stuhl ist bequem.,その椅子は快適です。,特になし,A1
Tisch,Tische,テーブル,Der Tisch ist groß.,そのテーブルは大きいです。,特になし,A2
Blume,Blumen,花,Die Blume ist schön.,その花はきれいです。,特になし,A1
Fenster,Fenster,窓,Das Fenster ist offen.,その窓は開いています。,特になし,A1
Tür,Türen,ドア,Die Tür ist geschlossen.,そのドアは閉まっています。,特になし,A1
Hund,Hunde,犬,Der Hund bellt.,その犬は吠えている。,特になし,A1
